"","Data.description","nRows"
"1","Raw data","11616639"
"2","Duplicated records","11614737"
"3","Primary gear == OTB","10882826"
"4","Removed intermediate port pings","9843127"
"5","Removed pseudoduplicates","9724023"
"6","Removed intermediate long interval pings","9714351"
"7","Removed single ping trips","9713845"
"8","Speed filter (0.5-8)","8436974"
"9","Removed in-port pings","8261811"
"10","Adriatic points","8235794"
"11","Removed coastal (3nm) pings","7663419"
"12","Fishing points only","3606738"
